vendornumber,vendorname,total_purchase_dollars,total_purchase_quantity,purchase_orders,avg_purchase_price,total_sales_dollars,total_sales_quantity,avg_sales_price,gross_profit,profit_margin_pct,total_freight,adjusted_profit,adjusted_margin_pct
9260,TY KU LLC,38921.47,3003,50,13.11,44141.6,2490,18.05,5220.13,11.83,198.94,5021.19,11.38
173357,TAMWORTH DISTILLING,41036.44,1990,45,20.88,40021.12,1488,26.69,-1015.32,-2.54,202.5,-1217.82,-3.04
90053,INCREDIBREW INC,24525.84,2786,52,8.81,35508.52,2698,13.18,10982.68,30.93,124.44,10858.24,30.58
12331,STELLAR IMPORTING CO LLC,24560.08,3104,51,7.68,35480.63,2987,11.62,10920.55,30.78,119.23,10801.32,30.44
172662,SWEETWATER FARM,34708.03,1629,29,21.1,35049.63,1237,28.33,341.6,0.97,178.34,163.26,0.47
3950,"HOOD RIVER DISTILLERS, Inc.",24035.96,1137,36,20.68,29403.29,1271,25.17,5367.33,18.25,117.52,5249.81,17.85
99166,STARK BREWING COMPANY,25961.04,1212,12,21.42,25371.54,846,29.99,-589.5,-2.32,130.09,-719.59,-2.84
90017,THE IMPORTED GRAPE LLC,16093.77,2280,47,7.23,22179.74,1736,12.89,6085.97,27.44,80.03,6005.94,27.08
90037,THE PIERPONT GROUP LLC,5713.19,580,25,11.36,17937.21,1079,17.38,12224.02,68.15,27.98,12196.04,67.99
105,ALTAMAR BRANDS LLC,11706.2,332,40,35.27,15748.75,325,48.87,4042.55,25.67,62.39,3980.16,25.27
90051,FULCHINO VINEYARD INC,11147.77,949,34,11.78,14441.64,836,17.12,3293.87,22.81,54.91,3238.96,22.43
2396,BLACK PRINCE DISTILLERY INC,5971.94,807,35,7.45,11818.85,1115,12.7,5846.91,49.47,30.98,5815.93,49.21
90057,WALPOLE MTN VIEW WINERY,9292.31,805,32,11.53,11483.88,662,17.33,2191.57,19.08,46.74,2144.83,18.68
9751,VINEDREA WINES LLC,4657.6,205,20,22.72,11385.6,440,26.1,6728.0,59.09,24.53,6703.47,58.88
8663,STAR INDUSTRIES INC.,2452.29,151,13,15.91,7914.72,428,18.5,5462.43,69.02,12.44,5449.99,68.86
2876,CENTEUR IMPORTS LLC,6237.08,771,38,8.36,7474.81,619,12.7,1237.73,16.56,31.5,1206.23,16.14
90052,HAUNTING WHISPER VYDS,5388.58,669,30,8.07,7325.89,611,11.99,1937.31,26.44,27.61,1909.7,26.07
90059,BLACK COVE BEVERAGES,14465.06,919,8,15.74,6256.87,313,19.99,-8208.19,-131.19,74.84,-8283.03,-132.38
3551,GILMANTON WINERY & VINEYARD,5393.04,516,8,10.45,3837.6,240,15.99,-1555.44,-40.53,26.63,-1582.07,-41.23
5612,MILTONS DISTRIBUTING CO,1824.18,267,10,6.81,2661.69,261,9.56,837.51,31.47,9.46,828.05,31.11
1003,BRONCO WINE COMPANY,2071.9,433,26,5.23,2400.66,334,6.85,328.76,13.69,10.53,318.23,13.26
1265,BLACK ROCK SPIRITS LLC,1152.1,82,18,14.05,2049.18,82,24.99,897.08,43.78,5.79,891.29,43.49
200,AMERICAN SPIRITS EXCHANGE,1205.16,132,6,9.18,1719.97,103,14.49,514.81,29.93,6.19,508.62,29.57
287,APPOLO VINEYARDS LLC,2399.7,230,13,10.44,1616.92,108,15.03,-782.78,-48.41,12.28,-795.06,-49.17
3951,HIGHLAND WINE MERCHANTS LLC,5500.32,372,7,15.23,1533.68,82,24.32,-3966.64,-258.64,29.43,-3996.07,-260.55
201359,FLAVOR ESSENCE INC,17.0,1,1,17.0,1474.41,59,24.99,1457.41,98.85,0.09,1457.32,98.84
2,"IRA GOLDMAN AND WILLIAMS, LLP",5630.88,328,4,18.58,1265.58,42,28.68,-4365.3,-344.92,27.08,-4392.38,-347.06
6280,UNCORKED,2966.31,243,7,12.39,1124.38,62,18.92,-1841.93,-163.82,15.26,-1857.19,-165.17
5083,LOYAL DOG WINERY,2320.8,240,3,9.67,1111.26,74,15.02,-1209.54,-108.84,10.68,-1220.22,-109.81
90026,SILVER MOUNTAIN CIDERS,77.18,17,2,4.54,381.48,52,7.52,304.3,79.77,0.36,303.94,79.67
90033,FANTASY FINE WINES CORP,128.64,24,2,5.36,327.59,41,7.99,198.95,60.73,0.61,198.34,60.55
1439,CAPSTONE INTERNATIONAL,54.64,4,1,13.66,246.87,13,18.99,192.23,77.87,0.27,191.96,77.76
9099,TRUETT HURST,236.64,24,1,9.86,14.99,1,14.99,-221.65,-1478.65,1.25,-222.9,-1486.99
